Color_Tag,Item1_Tag,Season_Tag,Popularity
Black,Shoes,Spring,0.9305893579945551
White,Shirt,Fall,0.22198686063023187
White,Jacket,Summer,0.11486798225093997
Green,Shoes,Summer,0.39627300736083815
White,Pants,Summer,0.4622080809318617
Red,Pants,Winter,0.5142960660309982
White,Jacket,Summer,0.6794795618909103
Green,Shirt,Spring,0.9223772139855606
Black,Shoes,Winter,0.2424206512271566
Green,Pants,Spring,0.985978521058094
White,Pants,Fall,0.8414810160276534
Green,Shirt,Fall,0.16953177989482526
Blue,Jacket,Spring,0.5099842117212917
Black,Shirt,Fall,0.2531435242453626
White,Jacket,Summer,0.296223384043823
Red,Shoes,Spring,0.0491499214124661
Black,Shoes,Fall,0.08792045936963089
Green,Shirt,Winter,0.8602603732567917
White,Pants,Summer,0.19167926888194686
Green,Jacket,Spring,0.21331739520271242
Red,Shoes,Summer,0.7022442802664124
Green,Jacket,Winter,0.5184401895498544
Green,Shoes,Summer,0.593720156966593
Red,Shirt,Fall,0.6818448382358719
White,Shirt,Fall,0.9088704530171423
Black,Pants,Fall,0.36700673048836774
Green,Pants,Summer,0.19546103155085037
Blue,Pants,Summer,0.526659055758225
Green,Jacket,Summer,0.2520954005112924
Green,Pants,Fall,0.7009912692987287
Green,Shoes,Summer,0.8371210922622102
Black,Shoes,Fall,0.9287908035630146
Blue,Pants,Winter,0.5431473752166566
Blue,Jacket,Winter,0.13764191446489327
Blue,Jacket,Spring,0.7625911562353541
Blue,Pants,Spring,0.8430925198033189
Black,Jacket,Summer,0.8424778039485646
Black,Pants,Summer,0.4919799148466586
Red,Shirt,Winter,0.9498692447374356
White,Pants,Fall,0.17664650233942325
White,Shirt,Winter,0.2664540556460384
Black,Pants,Spring,0.6811667580145164
Blue,Jacket,Summer,0.33246730698568216
Red,Shoes,Fall,0.9238656487109449
White,Jacket,Winter,0.8397203321892005
Green,Jacket,Summer,0.06256960529379751
Black,Shirt,Spring,0.322446849936619
Green,Shoes,Spring,0.7961455235348078
Green,Jacket,Winter,0.9547980418016224
Red,Shoes,Winter,0.6854030472771836
Red,Shirt,Fall,0.42809444861052126
White,Shirt,Summer,0.8657203028776315
Blue,Shoes,Summer,0.5795544711186884
White,Shirt,Winter,0.37585375967916757
Black,Shoes,Spring,0.6462930693428409
Red,Jacket,Summer,0.8693710443626019
Blue,Jacket,Fall,0.9894578094382674
Red,Pants,Spring,0.9617497223856846
Green,Jacket,Summer,0.17457009452764138
Green,Jacket,Winter,0.09161264959178872
Black,Pants,Winter,0.2781240858820835
Green,Shirt,Winter,0.27364163182021506
Red,Shoes,Fall,0.8609268459002665
Blue,Pants,Summer,0.28031858201966875
White,Shirt,Spring,0.5615156572360888
Red,Pants,Fall,0.5346825150884245
Red,Shoes,Fall,0.21196043618128835
White,Shoes,Summer,0.2183619830031277
Red,Pants,Winter,0.5023442669146533
Red,Pants,Spring,0.6905906850666551
White,Jacket,Winter,0.6202268945110239
Green,Shoes,Fall,0.5756800990754307
White,Shoes,Summer,0.5631012115285426
Blue,Shirt,Summer,0.10894995742370273
Black,Shoes,Summer,0.3831607605066557
Green,Pants,Fall,0.09058857484672389
Black,Pants,Winter,0.8598834115505378
White,Shirt,Winter,0.14736939750971356
Blue,Jacket,Spring,0.32555313349498194
Red,Pants,Summer,0.7469532066874074
Green,Shoes,Spring,0.2118607744478891
White,Jacket,Summer,0.7796130982029033
White,Shoes,Spring,0.16983652680310035
Red,Shoes,Fall,0.03438484229785033
Black,Shirt,Summer,0.02157565408289497
Blue,Shoes,Winter,0.18173293453064965
Red,Shoes,Summer,0.630955033999447
Red,Jacket,Winter,0.41910732941232987
Red,Shoes,Fall,0.8014917808826519
Red,Jacket,Spring,0.5332064215100306
Black,Jacket,Winter,0.4163761410368051
Black,Jacket,Fall,0.027625613772900737
Red,Shoes,Fall,0.6924459747757409
White,Jacket,Summer,0.8633726307020662
Red,Shirt,Fall,0.31451723905953977
Black,Jacket,Summer,0.6099253676954322
Blue,Jacket,Fall,0.6039767041976348
White,Jacket,Winter,0.7314455209310242
Green,Shirt,Fall,0.6736764460786301
White,Jacket,Spring,0.351295689429322
White,Jacket,Fall,0.23515866063834556
Green,Shirt,Summer,0.38205894696804044
White,Pants,Winter,0.446810944293918
Red,Jacket,Fall,0.6372567808424371
Red,Jacket,Summer,0.172699625397834
Blue,Pants,Summer,0.6590635934841717
Green,Shoes,Spring,0.19308735653258424
Green,Jacket,Spring,0.551646836362023
Green,Pants,Winter,0.5780670857853976
Blue,Shirt,Summer,0.273296178750853
Black,Shoes,Winter,0.19001202647855286
Blue,Shirt,Fall,0.20356976817013972
Blue,Jacket,Summer,0.25286981377088225
Black,Shoes,Fall,0.7683870239776691
Green,Pants,Winter,0.16951702926774403
Blue,Pants,Summer,0.7409342447118052
White,Jacket,Fall,0.5362058096443925
White,Jacket,Fall,0.2662013391361192
Green,Shirt,Winter,0.06637283046053488
Green,Pants,Fall,0.8447245697049351
Red,Pants,Fall,0.842942019366434
White,Shirt,Winter,0.1676011190340737
Red,Pants,Summer,0.8953590495959989
Red,Jacket,Fall,0.7497865891710621
Black,Pants,Winter,0.5047555384866956
Black,Pants,Fall,0.6912256584207229
Blue,Pants,Fall,0.4446724958418997
Red,Shoes,Spring,0.8810443089408844
Red,Shoes,Summer,0.4198942209982973
Blue,Pants,Spring,0.8306864852138031
Red,Pants,Summer,0.7505211317845558
Black,Jacket,Fall,0.5526096251376201
Blue,Jacket,Winter,0.8054196334118159
Red,Pants,Summer,0.12739631779889027
White,Shoes,Summer,0.19844284964484726
White,Pants,Summer,0.4109214756478239
Green,Shoes,Spring,0.6400383312660296
Red,Shirt,Summer,0.8749946947309057
Blue,Shirt,Winter,0.3073846816671836
Red,Shirt,Spring,0.24423195950368137
Blue,Jacket,Summer,0.5161993309749832
White,Shoes,Spring,0.7904478648835205
Blue,Shirt,Summer,0.08845768833437095
Black,Jacket,Summer,0.16101191548737903
Green,Shoes,Fall,0.1489283315616554
Blue,Shoes,Winter,0.24509652649835822
White,Shirt,Spring,0.1722973749114941
White,Shoes,Winter,0.7223943146381312
Blue,Shoes,Spring,0.7917776679351548
Green,Jacket,Winter,0.03614181127091831
Green,Shoes,Summer,0.5843702722628382
Black,Shirt,Fall,0.4140348854974021
White,Jacket,Winter,0.5155999462419206
Red,Jacket,Fall,0.3811668951664282
White,Pants,Fall,0.4383912906938141
Green,Pants,Summer,0.3584756914964047
Green,Shoes,Summer,0.7536847180595547
Green,Shoes,Spring,0.1357285574477587
Red,Shoes,Winter,0.22847335118897816
Green,Jacket,Spring,0.5177588661496012
Red,Shirt,Winter,0.6469076401633255
Black,Shoes,Winter,0.4762961552138152
White,Shirt,Spring,0.3443141554651502
Blue,Shirt,Spring,0.8085891347948753
Blue,Pants,Summer,0.8513182358023339
Blue,Pants,Fall,0.7011798381220464
White,Shoes,Spring,0.4851924981224418
White,Shirt,Summer,0.951161622794441
White,Shirt,Winter,0.0055141255356365715
Green,Shirt,Fall,0.5614165090203587
Green,Jacket,Winter,0.29727921012894687
Red,Shirt,Winter,0.9891603274276286
Blue,Shoes,Spring,0.6469625081893375
Red,Jacket,Summer,0.12168776302338635
Red,Jacket,Fall,0.8633917777872302
Green,Shoes,Fall,0.6842013240050537
White,Shoes,Winter,0.8976424591893613
White,Shoes,Summer,0.7923735684333917
Red,Shoes,Fall,0.9680048128653045
Green,Shoes,Spring,0.3531013320064159
Black,Shoes,Summer,0.5433447702115831
Red,Shoes,Summer,0.9492761785924376
White,Jacket,Winter,0.969477878866713
White,Shirt,Summer,0.8501003480627219
White,Shirt,Winter,0.48532404843696386
Green,Pants,Spring,0.1564792410991267
Red,Jacket,Winter,0.6014094735467738
Red,Jacket,Summer,0.03428109656508771
Black,Shirt,Fall,0.6611938169953874
Black,Pants,Winter,0.5878670773822187
Green,Jacket,Summer,0.6076167478750221
Black,Jacket,Fall,0.7481207161287827
Green,Pants,Summer,0.2242558156289547
White,Shoes,Fall,0.07060390764427849
Blue,Shirt,Fall,0.2952973547532196
Green,Shoes,Summer,0.8730493530777443
Red,Shirt,Fall,0.8860675784647335
Black,Shirt,Fall,0.053009344911347234
White,Pants,Summer,0.7065971892226502
Blue,Shoes,Summer,0.3616390368794804
Green,Jacket,Winter,0.8821183549977828
Green,Shoes,Fall,0.8625906738607011
Blue,Shirt,Fall,0.6183481749471047
Blue,Shirt,Winter,0.25168624044498666
White,Shoes,Spring,0.3806956835390013
White,Jacket,Winter,0.6968306591552831
Blue,Shirt,Fall,0.5122514816413752
White,Pants,Winter,0.04616831077851058
Green,Shoes,Summer,0.10602061172119459
Green,Jacket,Fall,0.8877359310258793
Red,Shoes,Spring,0.10476083197522468
Green,Shirt,Summer,0.5492177142898079
Blue,Pants,Spring,0.7911157993373501
White,Pants,Winter,0.2702044476102937
White,Pants,Winter,0.9981964485252193
Green,Pants,Winter,0.8979972943855414
Black,Shirt,Spring,0.6076010410864259
Black,Pants,Winter,0.6969779091233416
Red,Shoes,Summer,0.7155865010093015
Black,Shoes,Summer,0.9016850614749649
Green,Shirt,Winter,0.37048752326239287
Red,Shirt,Fall,0.06386518644543293
Black,Jacket,Summer,0.8981319017039162
Red,Shoes,Fall,0.6840759969694258
Blue,Pants,Summer,0.4254106702241427
Red,Pants,Spring,0.9877510314751257
Green,Jacket,Winter,0.16160951137788837
Red,Shoes,Winter,0.8149324113828467
White,Shoes,Fall,0.4922666055663911
Red,Shirt,Winter,0.402837935837951
Red,Shirt,Spring,0.008770033065332972
Blue,Pants,Winter,0.009604865264681628
Red,Jacket,Summer,0.12013524177262791
White,Jacket,Winter,0.7345428779465619
Blue,Pants,Fall,0.8911094557656188
Black,Pants,Summer,0.4521096493586869
White,Pants,Fall,0.9754069838444265
Blue,Jacket,Fall,0.031207453384696326
Black,Shoes,Winter,0.45177072910305505
Green,Shoes,Spring,0.8532827122991294
Blue,Jacket,Winter,0.9178913452937749
Green,Shoes,Fall,0.15748460111537976
Red,Pants,Spring,0.9787318611978805
White,Shoes,Summer,0.7003377322047897
White,Jacket,Fall,0.018186140407585927
Black,Pants,Winter,0.3229114002449225
Black,Jacket,Summer,0.2610456381865839
White,Shoes,Fall,0.1550382261963804
Green,Pants,Spring,0.9383006333048002
White,Shoes,Summer,0.47521896634272354
White,Pants,Winter,0.5517833019811369
Red,Pants,Winter,0.6207511255032051
Blue,Jacket,Spring,0.7291709996630575
Green,Shirt,Fall,0.29149889670187124
Green,Shoes,Spring,0.2525618388102646
Black,Jacket,Spring,0.06999808502090865
White,Pants,Summer,0.1493598428071331
Black,Shoes,Fall,0.5598875092487566
Red,Shirt,Summer,0.5448790154939472
Black,Shoes,Winter,0.6640414632142122
Blue,Pants,Summer,0.6241577451297924
Red,Pants,Winter,0.13560637221607297
Red,Shoes,Fall,0.6629877582451512
White,Shoes,Winter,0.4658631850306052
Blue,Shirt,Summer,0.35238966780183123
Green,Pants,Spring,0.2054683804784836
Blue,Jacket,Spring,0.36399383234517124
Green,Shoes,Spring,0.6976881257165768
Black,Pants,Summer,0.5345512331607505
Blue,Pants,Summer,0.3059626658086545
Black,Shirt,Spring,0.05136572268932316
Blue,Shoes,Winter,0.9211826508680714
Black,Shoes,Summer,0.7672008298213171
